dataset,group,m,k,algorithm,param_eps,div,num_elem,time1,time2,time3
adult,Sex,2,90,FairSwap,0.05,2.5885353128446624,-,-,-,29.72630268699868
adult,Sex,2,90,FairFlow,0.05,1.674133145438925,-,-,-,25.806064531799347
adult,Sex,2,90,scalable_fmmd_ILP,0.05,2.8859878889648534,-,-,-,42.73681151540077
Adult,Sex,2,90,Alg1,0.05,2.188196331223783,539.6,0.0,12.280326209300256,12.280326209300256
Adult,Sex,2,90,Alg2,0.05,2.5774967812966687,766.6,0.0,22.859392298398596,22.859392298398596
Adult,Sex,2,90,FairGreedyFlow,0.05,1.147920872469923,-,-,-,80.84659416110226
adult,Sex,2,100,FairSwap,0.05,2.5265945561489422,-,-,-,29.422471314399445
adult,Sex,2,100,FairFlow,0.05,1.6323363765169223,-,-,-,27.59825163840287
adult,Sex,2,100,scalable_fmmd_ILP,0.05,2.760678051115291,-,-,-,46.04570593940298
Adult,Sex,2,100,Alg1,0.05,2.1780593560980726,584.6,0.0,12.299155950799468,12.299155950799468
Adult,Sex,2,100,Alg2,0.05,2.4813895912092323,834.0,0.0,23.012479748297483,23.012479748297483
Adult,Sex,2,100,FairGreedyFlow,0.05,1.1082245370525539,-,-,-,78.54871087689972
adult,Race,5,10,FairFlow,0.05,2.0403608393829735,-,-,-,3.060844779497711
adult,Race,5,10,scalable_fmmd_ILP,0.05,6.443598897394779,-,-,-,7.975625378401309
Adult,Race,5,10,FairGreedyFlow,0.05,1.792495107631472,-,-,-,41.65395142449997
Adult,Race,5,10,Alg2,0.05,4.850285767078832,137.4,0.0,5.020111568101856,5.020111568101856
adult,Race,5,20,FairFlow,0.05,1.6775851730239555,-,-,-,6.247875310196832
adult,Race,5,20,scalable_fmmd_ILP,0.05,5.008601356639289,-,-,-,12.281613857399497
Adult,Race,5,20,FairGreedyFlow,0.05,1.2104097059498373,-,-,-,46.84766437819926
Adult,Race,5,20,Alg2,0.05,3.806044129666128,270.9,0.0,6.115018134396815,6.115018134396815
adult,Race,5,30,FairFlow,0.05,1.6568808909322363,-,-,-,9.06307782800286
adult,Race,5,30,scalable_fmmd_ILP,0.05,4.305083523778626,-,-,-,16.146421458099212
Adult,Race,5,30,FairGreedyFlow,0.05,1.028320109689309,-,-,-,52.123065697899435
Adult,Race,5,30,Alg2,0.05,3.2941243688299395,406.3,0.0,7.5656364731999926,7.5656364731999926
adult,Race,5,40,FairFlow,0.05,1.5502248209637,-,-,-,11.14949242450093
adult,Race,5,40,scalable_fmmd_ILP,0.05,3.866338177897311,-,-,-,21.15211542650068
Adult,Race,5,40,FairGreedyFlow,0.05,0.8922314052350744,-,-,-,54.95878146509931
Adult,Race,5,40,Alg2,0.05,3.1833790689167745,522.0,0.0,8.82273886250041,8.82273886250041
adult,Race,5,50,FairFlow,0.05,1.2849138379925036,-,-,-,14.03477688179846
adult,Race,5,50,scalable_fmmd_ILP,0.05,3.5426114291508375,-,-,-,24.54012502520345
Adult,Race,5,50,FairGreedyFlow,0.05,0.7975983207429899,-,-,-,61.380836630999696
Adult,Race,5,50,Alg2,0.05,2.858029657993305,630.8,0.0,10.95077348529885,10.95077348529885
adult,Race,5,60,FairFlow,0.05,1.406631068473595,-,-,-,16.923587137601864
adult,Race,5,60,scalable_fmmd_ILP,0.05,3.3404169319479076,-,-,-,28.200683546999063
Adult,Race,5,60,FairGreedyFlow,0.05,0.7513192674876191,-,-,-,68.78593619670137
Adult,Race,5,60,Alg2,0.05,2.723290946981948,763.8,0.0,12.960746749400277,12.960746749400277
adult,Race,5,70,FairFlow,0.05,1.2723321175082578,-,-,-,19.921378471401113
adult,Race,5,70,scalable_fmmd_ILP,0.05,3.175156694238358,-,-,-,33.6327855704978
Adult,Race,5,70,FairGreedyFlow,0.05,0.6687388370426094,-,-,-,76.1443674361013
Adult,Race,5,70,Alg2,0.05,2.5372819203839905,831.3,0.0,16.01994413370121,16.01994413370121
adult,Race,5,80,FairFlow,0.05,0.9266507189388333,-,-,-,22.88469703199953
adult,Race,5,80,scalable_fmmd_ILP,0.05,3.0059964102622536,-,-,-,38.748934718201056
Adult,Race,5,80,FairGreedyFlow,0.05,0.6355909524040694,-,-,-,83.92244001930085
Adult,Race,5,80,Alg2,0.05,2.481494788088754,922.9,0.0,18.711145645397483,18.711145645397483
adult,Race,5,90,FairFlow,0.05,0.8325854628561989,-,-,-,25.77326473229914
adult,Race,5,90,scalable_fmmd_ILP,0.05,2.886592785049905,-,-,-,41.52835652730282
Adult,Race,5,90,FairGreedyFlow,0.05,0.5945033403771316,-,-,-,92.46122170629823
Adult,Race,5,90,Alg2,0.05,2.4343509473843583,1006.0,0.0,22.56806610180065,22.56806610180065
adult,Race,5,100,FairFlow,0.05,0.8104051667844485,-,-,-,28.782797870201467
adult,Race,5,100,scalable_fmmd_ILP,0.05,2.7634997435252195,-,-,-,45.794402577998696
Adult,Race,5,100,FairGreedyFlow,0.05,0.5709053735723393,-,-,-,99.91747420260363
Adult,Race,5,100,Alg2,0.05,2.3973151248908686,1083.7,0.0,23.874181865002903,23.874181865002903
adult,Both,10,10,FairFlow,0.05,1.150919330954533,-,-,-,3.0153698560025077
adult,Both,10,10,scalable_fmmd_ILP,0.05,5.631958825150086,-,-,-,13.132519106200197
